step	accuracy
0	0.39954283833503723
1	0.4288979768753052
2	0.45271897315979004
3	0.4695620834827423
4	0.49578922986984253
5	0.5038498640060425
6	0.5182868242263794
7	0.5237006545066833
8	0.5295957922935486
9	0.5311597585678101
10	0.541867196559906
11	0.546920120716095
12	0.550288736820221
13	0.5589509010314941
14	0.5691770911216736
15	0.5838546752929688
16	0.5791626572608948
17	0.5782002210617065
18	0.5914340615272522
19	0.5903512835502625
20	0.5917949676513672
21	0.6008180975914001
22	0.6067131757736206
23	0.6133301258087158
24	0.6058710217475891
